state,year,barrels,type
HI,2013,13208.44,Bottles and Cans
HI,2014,13039.35,Bottles and Cans
HI,2015,17643.83,Bottles and Cans
HI,2016,24101.03,Bottles and Cans
HI,2017,30194.62,Bottles and Cans
HI,2018,34458.29,Bottles and Cans
HI,2019,35265.45,Bottles and Cans
IA,2008,1951.71,Bottles and Cans
IA,2009,2714.54,Bottles and Cans
IA,2010,3817.78,Bottles and Cans
IA,2011,4178.1,Bottles and Cans
IA,2012,4309.38,Bottles and Cans
IA,2013,5519.98,Bottles and Cans
IA,2014,8090.96,Bottles and Cans
IA,2015,6886.79,Bottles and Cans
IA,2016,4303.13,Bottles and Cans
IA,2017,5108.17,Bottles and Cans
IA,2018,10200.98,Bottles and Cans
IA,2019,29810.82,Bottles and Cans
ID,2008,4710.76,Bottles and Cans
ID,2009,4765.33,Bottles and Cans
ID,2010,6143.5,Bottles and Cans
ID,2011,6407.47,Bottles and Cans
ID,2012,9112.66,Bottles and Cans
ID,2013,11093.1,Bottles and Cans
ID,2014,14718.98,Bottles and Cans
ID,2015,15257.78,Bottles and Cans
ID,2016,15422.23,Bottles and Cans
ID,2017,16421.24,Bottles and Cans
ID,2018,14567.03,Bottles and Cans
ID,2019,16303.95,Bottles and Cans
IL,2008,735775.96,Bottles and Cans
IL,2009,920737.45,Bottles and Cans
IL,2010,935134.49,Bottles and Cans
IL,2011,911312.4,Bottles and Cans
IL,2012,786867.4,Bottles and Cans
IL,2013,944038.45,Bottles and Cans
IL,2014,946826.09,Bottles and Cans
IL,2015,1177503.56,Bottles and Cans
IL,2016,1281395.63,Bottles and Cans
IL,2017,1127874.13,Bottles and Cans
IL,2018,1209497.06,Bottles and Cans
IL,2019,1225146.67,Bottles and Cans
IN,2008,7626.27,Bottles and Cans
IN,2009,9704.3,Bottles and Cans
IN,2010,13724.96,Bottles and Cans
IN,2011,19393.24,Bottles and Cans
IN,2012,32664.02,Bottles and Cans
IN,2013,37750.09,Bottles and Cans
IN,2014,48204.65,Bottles and Cans
IN,2015,55466.71,Bottles and Cans
IN,2016,67624,Bottles and Cans
IN,2017,72637.37,Bottles and Cans
IN,2018,68032.19,Bottles and Cans
IN,2019,61722.24,Bottles and Cans
KS,2008,749,Bottles and Cans
KS,2009,1869.36,Bottles and Cans
KS,2010,4887.37,Bottles and Cans
KS,2011,9179.79,Bottles and Cans
KS,2012,9537.42,Bottles and Cans
KS,2013,11226.9,Bottles and Cans
KS,2014,15852.43,Bottles and Cans
KS,2015,19051.11,Bottles and Cans
KS,2016,17069.96,Bottles and Cans
KS,2017,16123.88,Bottles and Cans
KS,2018,6626.39,Bottles and Cans
KS,2019,6917.34,Bottles and Cans
KY,2008,76976.9,Bottles and Cans
KY,2009,76927.25,Bottles and Cans
KY,2010,68413.44,Bottles and Cans
KY,2011,58747.18,Bottles and Cans
KY,2012,70540.28,Bottles and Cans
KY,2013,78440.18,Bottles and Cans
KY,2014,86161.38,Bottles and Cans
KY,2015,99595.65,Bottles and Cans
KY,2016,97413.84,Bottles and Cans
KY,2017,115167.63,Bottles and Cans
KY,2018,129683.59,Bottles and Cans
KY,2019,144579.27,Bottles and Cans
LA,2008,53303.39,Bottles and Cans
LA,2009,58728.33,Bottles and Cans
LA,2010,71390.8,Bottles and Cans
LA,2011,81163.65,Bottles and Cans
LA,2012,98359.97,Bottles and Cans
LA,2013,101715.41,Bottles and Cans
LA,2014,109386.36,Bottles and Cans
LA,2015,109962.3,Bottles and Cans
LA,2016,104479.26,Bottles and Cans
LA,2017,102647.73,Bottles and Cans
LA,2018,97625.45,Bottles and Cans
LA,2019,83159.92,Bottles and Cans
MA,2008,51229.45,Bottles and Cans
MA,2009,64333.05,Bottles and Cans
MA,2010,72352.47,Bottles and Cans
MA,2011,91092.86,Bottles and Cans
MA,2012,107665.45,Bottles and Cans
MA,2013,127282.86,Bottles and Cans
MA,2014,133223.43,Bottles and Cans
MA,2015,140674.77,Bottles and Cans
MA,2016,168617.48,Bottles and Cans
MA,2017,232429.02,Bottles and Cans
MA,2018,233473.01,Bottles and Cans
MA,2019,228565.35,Bottles and Cans
