state,year,barrels,type
IA,2014,21448.89,Kegs and Barrels
IA,2015,15321.13,Kegs and Barrels
IA,2016,7700.13,Kegs and Barrels
IA,2017,12338,Kegs and Barrels
IA,2018,9353.45,Kegs and Barrels
IA,2019,18434.52,Kegs and Barrels
ID,2008,6279.71,Kegs and Barrels
ID,2009,6797.91,Kegs and Barrels
ID,2010,6834.92,Kegs and Barrels
ID,2011,7749.54,Kegs and Barrels
ID,2012,11316.83,Kegs and Barrels
ID,2013,15294.81,Kegs and Barrels
ID,2014,17477.57,Kegs and Barrels
ID,2015,16864.87,Kegs and Barrels
ID,2016,16296.75,Kegs and Barrels
ID,2017,17439.22,Kegs and Barrels
ID,2018,15268.86,Kegs and Barrels
ID,2019,14402.52,Kegs and Barrels
IL,2008,39678.85,Kegs and Barrels
IL,2009,46856.93,Kegs and Barrels
IL,2010,63152.26,Kegs and Barrels
IL,2011,64148.06,Kegs and Barrels
IL,2012,60573.7,Kegs and Barrels
IL,2013,68420.11,Kegs and Barrels
IL,2014,145486.79,Kegs and Barrels
IL,2015,214051.58,Kegs and Barrels
IL,2016,243183,Kegs and Barrels
IL,2017,229367.33,Kegs and Barrels
IL,2018,219382.35,Kegs and Barrels
IL,2019,200870.19,Kegs and Barrels
IN,2008,11103.64,Kegs and Barrels
IN,2009,14744.42,Kegs and Barrels
IN,2010,23055.64,Kegs and Barrels
IN,2011,36461.47,Kegs and Barrels
IN,2012,48867.09,Kegs and Barrels
IN,2013,61510.42,Kegs and Barrels
IN,2014,66614.28,Kegs and Barrels
IN,2015,66387.49,Kegs and Barrels
IN,2016,68150,Kegs and Barrels
IN,2017,63530.02,Kegs and Barrels
IN,2018,56023.45,Kegs and Barrels
IN,2019,49086.33,Kegs and Barrels
KS,2008,1521.34,Kegs and Barrels
KS,2009,1857.82,Kegs and Barrels
KS,2010,3107.42,Kegs and Barrels
KS,2011,5670.63,Kegs and Barrels
KS,2012,4768.33,Kegs and Barrels
KS,2013,6125.65,Kegs and Barrels
KS,2014,7418.78,Kegs and Barrels
KS,2015,8041.3,Kegs and Barrels
KS,2016,9585.41,Kegs and Barrels
KS,2017,10026.43,Kegs and Barrels
KS,2018,6342.37,Kegs and Barrels
KS,2019,7479.97,Kegs and Barrels
KY,2008,4568.13,Kegs and Barrels
KY,2009,5312,Kegs and Barrels
KY,2010,8190.89,Kegs and Barrels
KY,2011,9276.72,Kegs and Barrels
KY,2012,11795.65,Kegs and Barrels
KY,2013,19416.85,Kegs and Barrels
KY,2014,24748.1,Kegs and Barrels
KY,2015,30952.49,Kegs and Barrels
KY,2016,30049.37,Kegs and Barrels
KY,2017,32458.9,Kegs and Barrels
KY,2018,28653.06,Kegs and Barrels
KY,2019,25118.64,Kegs and Barrels
LA,2008,28163.29,Kegs and Barrels
LA,2009,34585.32,Kegs and Barrels
LA,2010,43767.95,Kegs and Barrels
LA,2011,53422.01,Kegs and Barrels
LA,2012,56196.18,Kegs and Barrels
LA,2013,62679.68,Kegs and Barrels
LA,2014,69442.53,Kegs and Barrels
LA,2015,72007.58,Kegs and Barrels
LA,2016,61638.35,Kegs and Barrels
LA,2017,53685.02,Kegs and Barrels
LA,2018,48367.7,Kegs and Barrels
LA,2019,33660.9,Kegs and Barrels
MA,2008,79385.94,Kegs and Barrels
MA,2009,84522.98,Kegs and Barrels
MA,2010,98121.54,Kegs and Barrels
MA,2011,119862.81,Kegs and Barrels
MA,2012,131474.98,Kegs and Barrels
MA,2013,126580.1,Kegs and Barrels
MA,2014,128941.15,Kegs and Barrels
MA,2015,149185.25,Kegs and Barrels
MA,2016,138987.97,Kegs and Barrels
MA,2017,162431.53,Kegs and Barrels
MA,2018,154797.7,Kegs and Barrels
MA,2019,143222.34,Kegs and Barrels
MD,2008,23321.62,Kegs and Barrels
MD,2009,24036.23,Kegs and Barrels
MD,2010,29123.06,Kegs and Barrels
MD,2011,38254.66,Kegs and Barrels
MD,2012,46213.33,Kegs and Barrels
MD,2013,52907.04,Kegs and Barrels
MD,2014,58176.63,Kegs and Barrels
MD,2015,64705.32,Kegs and Barrels
MD,2016,68486.52,Kegs and Barrels
MD,2017,69714.09,Kegs and Barrels
MD,2018,70807.06,Kegs and Barrels
MD,2019,72769.66,Kegs and Barrels
ME,2008,42649.45,Kegs and Barrels
ME,2009,47649.73,Kegs and Barrels
ME,2010,58015.64,Kegs and Barrels
ME,2011,77600.43,Kegs and Barrels
ME,2012,97285.94,Kegs and Barrels
ME,2013,110683.11,Kegs and Barrels
ME,2014,116113.35,Kegs and Barrels
ME,2015,117491.36,Kegs and Barrels
ME,2016,120823.77,Kegs and Barrels
ME,2017,116743.91,Kegs and Barrels
ME,2018,97260.97,Kegs and Barrels
ME,2019,101032.66,Kegs and Barrels
MI,2008,74309.35,Kegs and Barrels
MI,2009,94996.8,Kegs and Barrels
MI,2010,118799.27,Kegs and Barrels
MI,2011,148703.06,Kegs and Barrels
MI,2012,185386.44,Kegs and Barrels
MI,2013,227414.7,Kegs and Barrels
MI,2014,297520.14,Kegs and Barrels
MI,2015,330798.01,Kegs and Barrels
MI,2016,329891.64,Kegs and Barrels
MI,2017,347771.21,Kegs and Barrels
MI,2018,359017.74,Kegs and Barrels
MI,2019,348934.58,Kegs and Barrels
MN,2008,62497.37,Kegs and Barrels
MN,2009,67335.83,Kegs and Barrels
MN,2010,79534.59,Kegs and Barrels
MN,2011,101033.14,Kegs and Barrels
MN,2012,115956.35,Kegs and Barrels
MN,2013,133102.69,Kegs and Barrels
MN,2014,154949.51,Kegs and Barrels
MN,2015,154250.32,Kegs and Barrels
MN,2016,159728.02,Kegs and Barrels
MN,2017,159497.56,Kegs and Barrels
MN,2018,152641.92,Kegs and Barrels
MN,2019,146756.1,Kegs and Barrels
MO,2008,1527439.4,Kegs and Barrels
MO,2009,1382551.86,Kegs and Barrels
MO,2010,1183200.36,Kegs and Barrels
MO,2011,1119507.94,Kegs and Barrels
MO,2012,1019244.02,Kegs and Barrels
MO,2013,942359.26,Kegs and Barrels
MO,2014,891963.11,Kegs and Barrels
MO,2015,881247.94,Kegs and Barrels
MO,2016,913652.28,Kegs and Barrels
MO,2017,840259.38,Kegs and Barrels
MO,2018,763851.31,Kegs and Barrels
MO,2019,742043.07,Kegs and Barrels
MS,2008,2329.33,Kegs and Barrels
MS,2009,3585.07,Kegs and Barrels
MS,2010,5258.34,Kegs and Barrels
MS,2011,6867.94,Kegs and Barrels
MS,2012,6481.96,Kegs and Barrels
MS,2013,6907.14,Kegs and Barrels
MS,2014,7726.08,Kegs and Barrels
MS,2015,5999.23,Kegs and Barrels
MS,2016,5060.32,Kegs and Barrels
MS,2017,4474.17,Kegs and Barrels
MS,2018,3666.89,Kegs and Barrels
MS,2019,3361.31,Kegs and Barrels
MT,2008,36944.52,Kegs and Barrels
MT,2009,35824.92,Kegs and Barrels
MT,2010,41261.22,Kegs and Barrels
MT,2011,46957.49,Kegs and Barrels
MT,2012,50865.95,Kegs and Barrels
MT,2013,54321.28,Kegs and Barrels
MT,2014,58998.91,Kegs and Barrels
MT,2015,53876.38,Kegs and Barrels
MT,2016,50679.09,Kegs and Barrels
MT,2017,47842.61,Kegs and Barrels
MT,2018,44290.04,Kegs and Barrels
MT,2019,39887.71,Kegs and Barrels
NC,2008,834274.14,Kegs and Barrels
NC,2009,766996.13,Kegs and Barrels
NC,2010,903892.92,Kegs and Barrels
NC,2011,1010647.87,Kegs and Barrels
NC,2012,1054976.57,Kegs and Barrels
NC,2013,988300.04,Kegs and Barrels
NC,2014,971829.71,Kegs and Barrels
NC,2015,991004.06,Kegs and Barrels
NC,2016,561127.2,Kegs and Barrels
NC,2017,289428.28,Kegs and Barrels
NC,2018,298636.47,Kegs and Barrels
NC,2019,300587.32,Kegs and Barrels
ND,2008,0,Kegs and Barrels
ND,2009,0,Kegs and Barrels
ND,2010,0,Kegs and Barrels
ND,2011,0,Kegs and Barrels
ND,2012,0,Kegs and Barrels
ND,2013,590.57,Kegs and Barrels
ND,2014,2601.31,Kegs and Barrels
ND,2015,3456.6,Kegs and Barrels
ND,2016,1867.45,Kegs and Barrels
ND,2017,3219.15,Kegs and Barrels
ND,2018,299.88,Kegs and Barrels
ND,2019,145.87,Kegs and Barrels
NE,2008,3524.26,Kegs and Barrels
NE,2009,4091.47,Kegs and Barrels
NE,2010,5688.77,Kegs and Barrels
NE,2011,7000.95,Kegs and Barrels
NE,2012,7244.52,Kegs and Barrels
NE,2013,3840.44,Kegs and Barrels
NE,2014,13753.51,Kegs and Barrels
NE,2015,10422.01,Kegs and Barrels
NE,2016,14472.86,Kegs and Barrels
NE,2017,13928.55,Kegs and Barrels
NE,2018,11217.22,Kegs and Barrels
NE,2019,9249.5,Kegs and Barrels
NH,2008,331130.43,Kegs and Barrels
NH,2009,338988.75,Kegs and Barrels
NH,2010,341517.58,Kegs and Barrels
NH,2011,364000.89,Kegs and Barrels
NH,2012,365463.83,Kegs and Barrels
NH,2013,381402.55,Kegs and Barrels
NH,2014,367976.5,Kegs and Barrels
NH,2015,347827.51,Kegs and Barrels
NH,2016,317004.98,Kegs and Barrels
NH,2017,292497.8,Kegs and Barrels
NH,2018,295253.52,Kegs and Barrels
NH,2019,269654.65,Kegs and Barrels
NJ,2008,489576.07,Kegs and Barrels
NJ,2009,487051.21,Kegs and Barrels
NJ,2010,544599.19,Kegs and Barrels
NJ,2011,559276.11,Kegs and Barrels
NJ,2012,502680.99,Kegs and Barrels
NJ,2013,443199.05,Kegs and Barrels
NJ,2014,447843.58,Kegs and Barrels
NJ,2015,423001.17,Kegs and Barrels
NJ,2016,376621.44,Kegs and Barrels
NJ,2017,367964.45,Kegs and Barrels
NJ,2018,370889.34,Kegs and Barrels
NJ,2019,325232.23,Kegs and Barrels
NM,2008,5965.5,Kegs and Barrels
NM,2009,7739.68,Kegs and Barrels
NM,2010,7838.24,Kegs and Barrels
NM,2011,10594.14,Kegs and Barrels
NM,2012,12803.35,Kegs and Barrels
NM,2013,15093.44,Kegs and Barrels
NM,2014,21957.12,Kegs and Barrels
NM,2015,26192.78,Kegs and Barrels
NM,2016,27804.17,Kegs and Barrels
NM,2017,34733.93,Kegs and Barrels
NM,2018,37733.8,Kegs and Barrels
NM,2019,37837.5,Kegs and Barrels
NV,2008,14809.07,Kegs and Barrels
NV,2009,13983.77,Kegs and Barrels
NV,2010,14741.33,Kegs and Barrels
NV,2011,7871.97,Kegs and Barrels
NV,2012,4993.73,Kegs and Barrels
NV,2013,5702.72,Kegs and Barrels
NV,2014,8085.97,Kegs and Barrels
NV,2015,5161.63,Kegs and Barrels
NV,2016,8279.46,Kegs and Barrels
NV,2017,10871.8,Kegs and Barrels
NV,2018,12423.11,Kegs and Barrels
NV,2019,15045.5,Kegs and Barrels
NY,2008,749430.78,Kegs and Barrels
NY,2009,650087.06,Kegs and Barrels
NY,2010,583310.58,Kegs and Barrels
NY,2011,604493.47,Kegs and Barrels
NY,2012,668632.48,Kegs and Barrels
NY,2013,674239.5,Kegs and Barrels
NY,2014,596752.77,Kegs and Barrels
NY,2015,589153.27,Kegs and Barrels
NY,2016,566871.56,Kegs and Barrels
NY,2017,520583.59,Kegs and Barrels
NY,2018,466871,Kegs and Barrels
NY,2019,450143.63,Kegs and Barrels
OH,2008,1708860.22,Kegs and Barrels
OH,2009,1895495.69,Kegs and Barrels
OH,2010,2033529.73,Kegs and Barrels
OH,2011,1886886.8,Kegs and Barrels
OH,2012,1790342.28,Kegs and Barrels
OH,2013,1726077.24,Kegs and Barrels
OH,2014,1643427.98,Kegs and Barrels
OH,2015,1628062.64,Kegs and Barrels
OH,2016,1457112.02,Kegs and Barrels
OH,2017,1383472.57,Kegs and Barrels
OH,2018,1359048.25,Kegs and Barrels
OH,2019,1368599.36,Kegs and Barrels
OK,2008,939.98,Kegs and Barrels
OK,2009,2578.47,Kegs and Barrels
OK,2010,3395.64,Kegs and Barrels
OK,2011,4025.32,Kegs and Barrels
OK,2012,4826.95,Kegs and Barrels
OK,2013,4840.77,Kegs and Barrels
OK,2014,6110,Kegs and Barrels
OK,2015,4539.32,Kegs and Barrels
OK,2016,5642.57,Kegs and Barrels
OK,2017,5409.25,Kegs and Barrels
OK,2018,968.47,Kegs and Barrels
OK,2019,1121.82,Kegs and Barrels
OR,2008,302197.16,Kegs and Barrels
OR,2009,325659.16,Kegs and Barrels
OR,2010,341505.24,Kegs and Barrels
OR,2011,357821.43,Kegs and Barrels
OR,2012,375659.57,Kegs and Barrels
OR,2013,415935.76,Kegs and Barrels
OR,2014,479575.19,Kegs and Barrels
OR,2015,489128.91,Kegs and Barrels
OR,2016,477381.22,Kegs and Barrels
OR,2017,643288.16,Kegs and Barrels
OR,2018,404151.01,Kegs and Barrels
OR,2019,349803.33,Kegs and Barrels
PA,2008,772329.9,Kegs and Barrels
PA,2009,953285.76,Kegs and Barrels
PA,2010,998172.5,Kegs and Barrels
PA,2011,1081543.3,Kegs and Barrels
PA,2012,1168462.04,Kegs and Barrels
PA,2013,1172679.83,Kegs and Barrels
PA,2014,1244846.05,Kegs and Barrels
PA,2015,1156462.98,Kegs and Barrels
PA,2016,1035752.73,Kegs and Barrels
PA,2017,946253.9,Kegs and Barrels
PA,2018,905758.65,Kegs and Barrels
PA,2019,822363.35,Kegs and Barrels
RI,2008,2347,Kegs and Barrels
RI,2009,2430,Kegs and Barrels
RI,2010,3236.99,Kegs and Barrels
RI,2011,3371,Kegs and Barrels
RI,2012,4104.34,Kegs and Barrels
RI,2013,5174.14,Kegs and Barrels
RI,2014,4551.43,Kegs and Barrels
RI,2015,3969.48,Kegs and Barrels
RI,2016,3675.99,Kegs and Barrels
RI,2017,7854.41,Kegs and Barrels
RI,2018,15630.68,Kegs and Barrels
RI,2019,19862.36,Kegs and Barrels
SC,2008,6193.71,Kegs and Barrels
